EnglishWord,WordType,Level,Translation,ExampleSentenceEn,ExampleSentenceTR
environmentalist,noun,B1,çevreci,She is a passionate environmentalist who fights for the protection of forests.,Ormanların korunması için mücadele eden tutkulu bir çevreci.
environmentally,adverb,B2,çevresel,The new building was designed to be environmentally friendly.,Yeni bina çevre dostu olacak şekilde tasarlandı.
environmentally friendly,adjective,B2,çevre dostu,This packaging is environmentally friendly and biodegradable.,Bu ambalaj çevre dostudur ve biyolojik olarak parçalanabilir.
envy,noun,A2,imrenmek,She felt envy towards her friends success.,Arkadaşının başarısına karşı kıskançlık hissetti.
envy,verb,B2,imrenmek,I envy people who can speak multiple languages fluently.,Birden fazla dili akıcı bir şekilde konuşabilen insanları kıskanırım.
episode,noun,A2,bölüm,I cant wait for the next episode of my favorite show.,Favori dizimin bir sonraki bölümünü sabırsızlıkla bekliyorum.
equal,adjective,B1,eşit,They divided the money into equal parts.,Parayı eşit parçalara böldüler.
equal,noun,B2,eşit,Everyone should be treated as an equal in society.,Toplumda herkes eşit olarak muamele görmelidir.
equal,verb,B2,eşit,His performance in the race equaled the world record.,Yarıştaki performansı dünya rekoruna eşitti.
equality,noun,B1,eşitlik,Gender equality is still an issue in many countries.,Cinsiyet eşitliği hala birçok ülkede bir sorun.
equally,adverb,B1,eşit olarak,We distributed the work equally among the team members.,Çalışmayı takım üyeleri arasında eşit olarak dağıttık.
equation,noun,B2,denklem,He solved the equation within a few minutes.,Denklemi birkaç dakika içinde çözdü.
equip,verb,B2,donatmak,They will equip the new office with modern furniture.,Yeni ofisi modern mobilyalarla donatacaklar.
equipment,noun,B1,teçhizat,The gym has all the necessary equipment for a good workout.,Spor salonu iyi bir egzersiz için gerekli tüm ekipmanlara sahip.
equity,noun,B2,eşitlik,The company promotes equity in the workplace.,Şirket iş yerinde eşitliği teşvik ediyor.
era,noun,B1,dönem,We are living in the digital era.,Dijital çağda yaşıyoruz.
erect,adjective,B2,dik,The statue was erected in the town square.,Heykel kasaba meydanına dikildi.
error,noun,A2,hata,There was an error in the calculation.,Hesaplamada bir hata vardı.
erupt,verb,B2,patlamak,The volcano could erupt at any moment.,Volkan her an patlayabilir.
eruption,noun,B2,patlama,The eruption of the volcano caused widespread damage.,Volkanın patlaması geniş çapta hasara neden oldu.
escalator,noun,A2,yürüyen merdiven,I took the escalator to the second floor.,Yürüyen merdivenle ikinci kata çıktım.
escape,noun,A2,kaçmak,The prisoner made a daring escape last night.,Mahkum dün gece cesur bir kaçış yaptı.
escape,verb,B1,kaçmak,They managed to escape from the burning building.,Yanan binadan kaçmayı başardılar.
especially,adverb,A2,özellikle,She loves all animals especially dogs.,Tüm hayvanları sever özellikle köpekleri.
essay,noun,A2,makale,He wrote an essay on climate change for his school project.,Okul projesi için iklim değişikliği hakkında bir makale yazdı.
essayist,noun,B2,deneme yazarı,The famous essayist published a new collection of writings.,Ünlü deneme yazarı yeni bir yazı koleksiyonu yayımladı.
essence,noun,B1,öz,The essence of the story is about love and betrayal.,Hikayenin özü aşk ve ihanete dayanıyor.
essential,adjective,B1,gerekli,Its essential to drink water every day to stay healthy.,Sağlıklı kalmak için her gün su içmek çok önemlidir.
essentially,adverb,B2,esasen,The changes are essentially minor but still important.,Değişiklikler temelde küçük ancak yine de önemli.
establish,verb,A2,kurmak,The company was established over 50 years ago.,Şirket 50 yıl önce kuruldu.
establishment,noun,B1,kuruluş,The establishment of the new school was announced last week.,Yeni okulun kurulumu geçen hafta duyuruldu.
estate,noun,B2,arazi,He inherited a large estate from his uncle.,Amcasından büyük bir mülk miras aldı.
estimate,noun,B2,tahmin,The estimate for the project came in lower than expected.,Proje için tahmin beklenenden düşük çıktı.
estimate,verb,B1,tahmin etmek,They estimate the project will take six months to complete.,Projenin tamamlanmasının altı ay süreceğini tahmin ediyorlar.
estimated,adjective,B2,tahmini,The estimated time of arrival is 3:00 PM.,Tahmini varış saati 15:00.
eternal,adjective,B1,sonsuz,They made an eternal promise to be friends forever.,Sonsuza dek arkadaş olacaklarına dair sonsuz bir söz verdiler.
eternally,adverb,B2,sonsuza kadar,She will be eternally grateful for your help.,Yardımınız için sonsuza kadar minnettar olacak.
eternity,noun,B1,sonsuzluk,They believed in life after death and that eternity awaited them.,Ölümden sonra hayata inanıyorlardı ve sonsuzluğun onları beklediğine.
ethic,noun,B2,etik,His work ethic is highly respected by his peers.,Çalışma ahlakı meslektaşları tarafından çok saygı görüyor.
ethnic,adjective,B2,etnik,The city is home to many different ethnic groups.,Şehir birçok farklı etnik gruba ev sahipliği yapıyor.
euro,noun,A2,euro,I exchanged my dollars for euros at the bank.,Bankada dolarlarımı euroya çevirdim.
evacuate,verb,B2,tahliye etmek,The building was evacuated due to the fire alarm.,Yangın alarmı nedeniyle bina tahliye edildi.
evacuation,noun,B2,tahliye,The emergency evacuation plan was put into action.,Acil tahliye planı devreye sokuldu.
evaluate,verb,B2,değerlendirmek,The teacher will evaluate the students projects next week.,Öğretmen öğrencilerin projelerini gelecek hafta değerlendirecek.
evaluation,noun,B2,değerlendirme,The evaluation of the results took longer than expected.,Sonuçların değerlendirilmesi beklenenden uzun sürdü.
even,adjective,B1,eşit,The race was even with both runners crossing the finish line at the same time.,Yarış berabere bitti her iki koşucu da aynı anda bitiş çizgisini geçti.
even,adverb,A2,eşit,Its hard to believe but he didnt even try.,İnanması zor ama denemedi bile.
evening,noun,A1,akşam,We went out for dinner in the evening.,Akşam yemeği için dışarı çıktık.
evenly,adverb,B1,eşit olarak,Make sure to spread the butter evenly over the bread.,Tereyağını ekmeğin üzerine eşit şekilde yaydığınızdan emin olun.
event,noun,A1,etkinlik,The concert was the biggest event of the year.,Konser yılın en büyük etkinliğiydi.
eventually,adverb,B1,sonunda,After many delays the train eventually arrived.,Birçok gecikmeden sonra tren nihayet geldi.
ever,adverb,A2,durmadan,Have you ever been to Paris?,Hiç Parise gittin mi?
everlasting,adjective,B2,sonsuz,The couple exchanged vows of everlasting love.,Çift sonsuz aşk yemini etti.
every,determiner,A1,her,Every student in the class passed the exam.,Sınıftaki her öğrenci sınavı geçti.
everybody,pronoun,A1,herkes,Everybody enjoyed the party last night.,Herkes dün geceki partiden keyif aldı.
everyday,adjective,A1,her gün,Using a computer has become part of everyday life.,Bilgisayar kullanmak günlük yaşamın bir parçası haline geldi.
everyone,pronoun,A1,herkes,Everyone is excited about the upcoming holiday.,Herkes yaklaşan tatil hakkında heyecanlı.
everything,pronoun,A1,her şey,Everything will be alright in the end.,Sonunda her şey yoluna girecek.
everywhere,adverb,A1,her yer,We looked everywhere but we couldnt find the keys.,Her yere baktık ama anahtarları bulamadık.
evidence,noun,A2,kanıt,The police found new evidence at the crime scene.,Polis suç mahallinde yeni deliller buldu.
evident,adjective,B1,belirgin,Her happiness was evident from the smile on her face.,Yüzündeki gülümsemeden mutluluğu belliydi.
evidently,adverb,B2,açıkça,He was evidently nervous about giving the speech.,Açıkça konuşma yapma konusunda gergindi.
evil,adjective,B2,fenalık,The villain in the movie was portrayed as pure evil.,Filmdeki kötü karakter tam bir kötülük olarak tasvir edildi.
evil,noun,B2,fenalık,They believed the place was haunted by an evil spirit.,O yerin kötü bir ruh tarafından lanetlendiğine inanıyorlardı.
evolution,noun,B2,evrim,The theory of evolution explains how species change over time.,Evrim teorisi türlerin zaman içinde nasıl değiştiğini açıklar.
evolve,verb,B2,evrim geçirmek,Over the years his music style evolved significantly.,Yıllar içinde müzik tarzı önemli ölçüde evrildi.
exact,adjective,B1,bire bir aynı,She gave the exact amount of money needed for the ticket.,Bilet için gerekli olan tam miktarı verdi.
exactly,adverb,A2,kesinlikle,Thats exactly what I was going to say!,Tam da söyleyeceğim şeyi söyledin!
exactness,noun,B2,kesinlik,The exactness of the measurements is crucial for this experiment.,Bu deneyde ölçülerin kesinliği çok önemlidir.
exaggerate,noun,B2,abartmak,He tends to exaggerate his achievements to impress people.,İnsanları etkilemek için başarılarını abartma eğilimindedir.
exaggeration,noun,B2,abartı,His story was full of exaggeration and drama.,Hikayesi abartı ve dram doluydu.
exalt,verb,B2,yüceltmek,The community exalted him for his generous contributions.,Toplum cömert katkılarından dolayı onu yüceltti.
exam,noun,A2,sınav,She studied all night for her math exam.,Matematik sınavı için tüm gece çalıştı.
examination,noun,B1,muayene,The doctor conducted a thorough examination of the patient.,Doktor hastayı ayrıntılı bir şekilde muayene etti.
examine,verb,B1,incelemek,The inspector will examine the facility tomorrow.,Müfettiş yarın tesisi inceleyecek.
examinee,noun,B2,sınava giren kişi,The examinee seemed nervous before the test.,Sınava giren kişi sınav öncesinde gergin görünüyordu.
examiner,noun,B1,denetçi,The examiner asked several difficult questions during the oral test.,Sözlü sınav sırasında sınav görevlisi birkaç zor soru sordu.
example,noun,A1,örnek,Let me give you an example to clarify my point.,Düşüncemi netleştirmek için sana bir örnek vereyim.
exceed,verb,B2,aşmak,The final cost will exceed the budget by a large amount.,Son maliyet bütçeyi büyük ölçüde aşacak.
excel,verb,B2,excel,She excels in mathematics and often helps others with their homework.,Matematikte çok başarılıdır ve sık sık başkalarına ödevlerinde yardım eder.
excellence,noun,B1,mükemmellik,The school is known for its academic excellence.,Okul akademik mükemmeliyetiyle tanınır.
excellent,adjective,A1,harika,She did an excellent job on the project.,Projede mükemmel bir iş çıkardı.
except,conjunction,A2,hariç,I like all kinds of fruit except bananas.,Muz hariç her tür meyveyi severim.
except,preposition,A2,hariç,Everyone is coming to the party except for John.,John hariç herkes partiye geliyor.
exception,noun,B2,istisna,There is an exception to every rule.,Her kuralın bir istisnası vardır.
exceptional,adjective,B2,olağanüstü,He is an exceptional student with remarkable skills.,O olağanüstü yeteneklere sahip bir öğrencidir.
exceptionally,adverb,B2,istisnai olarak,She performed exceptionally well in the competition.,Yarışmada olağanüstü bir performans sergiledi.
excess,noun,B1,aşırı,You should avoid consuming sugar in excess.,Şekeri aşırı tüketmekten kaçınmalısın.
excessive,adjective,B2,aşırı,The company charged an excessive amount for the service.,Şirket hizmet için aşırı bir ücret aldı.
exchange,noun,A2,değişme,There was an exchange of ideas during the meeting.,Toplantıda fikir alışverişi yapıldı.
exchange,verb,B1,değişme,They exchanged gifts during the holidays.,Tatillerde birbirlerine hediye verdiler.
exchange rate,noun,B1,döviz kuru,The exchange rate for dollars to euros has dropped recently.,Doların euroya karşı döviz kuru son zamanlarda düştü.
excited,adjective,A1,heyecanlı,The kids were excited about going to the amusement park.,Çocuklar lunaparka gitmek için çok heyecanlıydılar.
excitedly,adverb,B1,heyecanla,She waited excitedly for the concert to begin.,Konserin başlamasını heyecanla bekledi.
excitement,noun,B1,heyecanlanmak,There was a lot of excitement in the air before the big game.,Büyük maçtan önce havada büyük bir heyecan vardı.
exciting,adjective,A1,heyecan verici,The movie had an exciting plot that kept me on the edge of my seat.,Filmin heyecan verici bir konusu vardı ve beni sürekli tetikte tuttu.
exclaim,verb,B2,haykırmak,What a surprise! she exclaimed when she saw the cake.,Pastayı görünce Ne sürpriz! diye bağırdı.
exclamation mark,noun,B2,ünlem işareti,The teacher reminded the students to use an exclamation mark for emphasis.,Öğretmen vurgulamak için ünlem işareti kullanmalarını hatırlattı.
exclude,verb,B2,hariç tutmak,They decided to exclude him from the team because of his behavior.,Davranışları nedeniyle onu takımdan dışlamaya karar verdiler.
exclusion,noun,B2,dışlama,The exclusion of certain groups from the discussion was controversial.,Bazı grupların tartışmanın dışında tutulması tartışmalıydı.
exclusive,adjective,B1,özel,The restaurant has an exclusive menu for VIP customers.,Restoran VIP müşteriler için özel bir menüye sahip.
exclusively,adverb,B2,münhasıran,This offer is available exclusively to our premium members.,Bu teklif yalnızca premium üyelerimize özeldir.
excursion,noun,B2,gezi,We went on a weekend excursion to the mountains.,Hafta sonu için dağlara bir gezi yaptık.
excuse,noun,A1,mazeret,She gave a valid excuse for being late.,Geç kalmak için geçerli bir mazeret sundu.
excuse,verb,B1,mazeret,He tried to excuse himself from the meeting but the boss insisted he stay.,Toplantıdan ayrılmak için kendini mazur göstermeye çalıştı ancak patron kalmasında ısrar etti.
execute,verb,B2,uygulamak,The company was able to execute its new business plan successfully.,Şirket yeni iş planını başarıyla uygulayabildi.
execution,noun,B2,uygulamak,The execution of the project was flawless.,Projenin uygulanışı kusursuzdu.
executive,adjective,B2,yönetici,The executive team made important decisions about the future of the company.,Yönetim ekibi şirketin geleceğiyle ilgili önemli kararlar aldı.
executive,noun,B2,yönetici,The companys chief executive will address the media tomorrow.,Şirketin genel müdürü yarın medya ile konuşacak.
exercise,noun,A2,egzersiz yapmak,Regular exercise is important for maintaining good health.,Düzenli egzersiz sağlıklı kalmak için önemlidir.
exercise,verb,A1,egzersiz yapmak,She exercises every morning to stay fit.,Formda kalmak için her sabah egzersiz yapar.
exhaust,noun,B2,egzoz,The mechanic checked the cars exhaust system for leaks.,Tamirci arabanın egzoz sistemini sızıntılar için kontrol etti.
exhausted,adjective,B1,yorgun,After the long hike we were completely exhausted.,Uzun yürüyüşten sonra tamamen bitkin düştük.
exhausting,adjective,B2,yorucu,It was an exhausting day but we got a lot done.,Yorucu bir gündü ama çok iş başardık.
exhaustion,noun,B2,bitkinlik,He collapsed from exhaustion after the marathon.,Maratondan sonra yorgunluktan bayıldı.
exhibit,verb,B2,sergilemek,The artist will exhibit her latest works at the gallery.,Sanatçı en son eserlerini galeride sergileyecek.
exhibition,noun,A2,sergi,The museum is hosting a new art exhibition next month.,Müze gelecek ay yeni bir sanat sergisine ev sahipliği yapacak.
exile,noun,B2,sürgün,The king lived in exile for many years after being overthrown.,Kral tahttan indirildikten sonra yıllarca sürgünde yaşadı.
exist,verb,A2,var olmak,Does life exist on other planets?,Diğer gezegenlerde yaşam var mı?
existence,noun,B1,varoluş,The existence of the species is now threatened due to habitat loss.,Türün varlığı artık habitat kaybı nedeniyle tehdit altında.
existing,adjective,B2,mevcut,The existing laws are insufficient to handle the current situation.,Mevcut yasalar mevcut durumu ele almak için yetersiz.
exit,noun,B1,çıkış,Please use the nearest exit in case of an emergency.,Acil bir durumda lütfen en yakın çıkışı kullanın.
exit,verb,B1,çıkmak,We will exit the building after the meeting.,Toplantıdan sonra binadan çıkacağız.
exotic,adjective,B2,acayip,They tried exotic dishes from various countries during their travels.,Seyahatlerinde çeşitli ülkelerden egzotik yemekler denediler.
expand,verb,B1,genişletmek,The company plans to expand its operations into Europe next year.,Şirket gelecek yıl Avrupaya operasyonlarını genişletmeyi planlıyor.
expansion,noun,B2,genleşme,The rapid expansion of the city has led to increased traffic problems.,Şehrin hızlı genişlemesi artan trafik sorunlarına yol açtı.
expect,verb,A2,beklemek,We expect the results to be announced soon.,Sonuçların yakında açıklanmasını bekliyoruz.
expectation,noun,B2,beklenti,The students had high expectations for the upcoming exam.,Öğrencilerin yaklaşan sınav için büyük beklentileri vardı.
expected,adjective,B2,beklenen,The expected delivery date is next Tuesday.,Beklenen teslimat tarihi gelecek salı.
expedition,noun,B2,sefer,They went on an expedition to explore the Amazon rainforest.,Amazon yağmur ormanlarını keşfetmek için bir keşif gezisine çıktılar.
expense,noun,B1,gider,Traveling can be a big expense but its worth it.,Seyahat etmek büyük bir masraf olabilir ancak buna değer.
expensive,adjective,A1,masraflı,This handbag is quite expensive but its made of high quality leather.,Bu çanta oldukça pahalı ancak yüksek kaliteli deriden yapılmış.
experience,noun,A2,deneyim,She has a lot of experience in project management.,Proje yönetiminde çok deneyimi var.
experience,verb,B1,deneyim,They experienced severe weather conditions during the trip.,Seyahat sırasında şiddetli hava koşulları yaşadılar.
experienced,adjective,B1,tecrübeli,The company is looking to hire an experienced manager.,Şirket deneyimli bir yönetici arıyor.
experiment,noun,B1,deney,The students conducted an experiment in the chemistry lab.,Öğrenciler kimya laboratuvarında bir deney yaptılar.
experiment,verb,B2,deney yapmak,Scientists experiment to test their hypotheses.,Bilim insanları hipotezlerini test etmek için deney yaparlar.
expert,adjective,B2,uzman,She is an expert in data analysis.,O veri analizi konusunda uzmandır.
expert,noun,A2,uzman,We consulted a marketing expert for advice on our campaign.,Kampanyamız için bir pazarlama uzmanına danıştık.
explain,verb,A2,açıklamak,Can you explain this math problem to me?,Bu matematik problemini bana açıklayabilir misin?
explanation,noun,A2,açıklama,His explanation helped clarify the situation.,Açıklaması durumu netleştirmeye yardımcı oldu.
explode,verb,B2,patlamak,The fireworks exploded in a dazzling display of colors.,Havai fişekler büyüleyici bir renk gösterisiyle patladı.
exploit,verb,B2,faydalanmak,The company was accused of exploiting workers in poor conditions.,Şirket kötü koşullarda çalışanları sömürmekle suçlandı.
exploration,noun,B1,keşif,The exploration of space continues to uncover new mysteries.,Uzayın keşfi yeni gizemleri ortaya çıkarmaya devam ediyor.
explore,verb,A2,keşfetmek,We spent the day exploring the city.,Günü şehri keşfederek geçirdik.
explorer,noun,B2,kaşif,The explorer traveled to uncharted lands in search of new discoveries.,Kaşif yeni keşifler aramak için haritasız topraklara seyahat etti.
explosion,noun,B1,patlama,The explosion shook the entire building.,Patlama tüm binayı sarstı.
explosive,adjective,B2,patlayıcı,The chemicals in the lab were highly explosive.,Laboratuvardaki kimyasallar son derece patlayıcıydı.
explosive,noun,B2,patlayıcı madde,The bomb squad removed the explosives from the area.,Bomba ekibi patlayıcıları alandan çıkardı.
export,noun,B2,ihracat,Wheat is one of the countrys main exports.,Buğday ülkenin ana ihracat ürünlerinden biridir.
export,verb,B2,ihracat yapmak,The company exports goods to several countries in Europe.,Şirket Avrupadaki birkaç ülkeye mal ihraç ediyor.
expose,verb,B1,ortaya çıkarmak,The documentary exposed the truth behind the scandal.,Belgesel skandalın arkasındaki gerçeği ortaya çıkardı.
express,noun,A2,ifade etmek,He was able to express his thoughts clearly and confidently.,Düşüncelerini net ve özgüvenli bir şekilde ifade edebildi.
express,verb,B1,ifade etmek,She expressed her gratitude for all the support she received.,Aldığı tüm destek için minnettarlığını dile getirdi.
expression,noun,A2,ifade,His facial expression showed that he was surprised.,Yüz ifadesi şaşırdığını gösteriyordu.
expressive,adjective,B2,anlamlı,Her expressive eyes conveyed the sadness she was feeling.,İfadesi güçlü gözleri hissettiği üzüntüyü yansıtıyordu.
exquisite,adjective,B2,enfes,The craftsmanship of the jewelry was exquisite.,Takının işçiliği olağanüstüydü.
extend,verb,B1,uzatmak,We need to extend the deadline by another week.,Son teslim tarihini bir hafta daha uzatmamız gerekiyor.
extension,noun,B2,eklenti,They built an extension to their house last year.,Geçen yıl evlerine bir ek inşa ettiler.
extensive,adjective,B2,yaygın,The company conducted an extensive survey to understand customer needs.,Şirket müşteri ihtiyaçlarını anlamak için kapsamlı bir anket yaptı.
extensively,adverb,B1,kapsamlı olarak,The new technology has been tested extensively.,Yeni teknoloji geniş çapta test edildi.
extent,noun,B1,kapsam,The extent of the damage was much worse than initially thought.,Hasarın boyutu başlangıçta düşünülenden çok daha kötüydü.
external,adjective,B2,harici,The external walls of the building need repair.,Binanın dış duvarlarının onarılması gerekiyor.
extinct,adjective,B1,yok olmuş,Many species are now extinct due to human activity.,Birçok tür insan faaliyetleri nedeniyle şimdi nesli tükenmiş durumda.
extinction,noun,B1,nesli tükenme,The extinction of the dinosaurs remains a mystery.,Dinozorların neslinin tükenmesi hala bir gizemdir.
extra,adjective,A2,ekstra,I paid extra for faster shipping.,Daha hızlı kargo için ekstra ödeme yaptım.
extra,adverb,A2,ekstra,They gave us an extra portion of fries.,Bize ekstra bir porsiyon patates verdiler.
extra,noun,B1,ekstra,The hotel charges extra for internet access.,Otel internet erişimi için ekstra ücret alıyor.
extract,noun,B2,çıkarmak,The dentist had to remove the tooth which was then sent for extraction.,Dişçi dişi çekmek zorunda kaldı ve diş çekim için gönderildi.
extract,verb,B2,çıkarmak,The scientist extracted DNA samples for further testing.,Bilim insanı ileri testler için DNA örnekleri çıkardı.
extraordinarily,adverb,B2,olağanüstü,She performed extraordinarily well under pressure.,Baskı altında olağanüstü bir performans sergiledi.
extraordinary,adjective,B1,olağanüstü,He has an extraordinary talent for music.,Müzik konusunda olağanüstü bir yeteneği var.
extreme,adjective,B1,aşırı,The extreme weather conditions caused widespread damage.,Aşırı hava koşulları geniş çapta hasara neden oldu.
extreme sports,noun,B1,ekstrem sporlar,Skydiving and bungee jumping are popular extreme sports.,Paraşütle atlama ve bungee jumping popüler ekstrem sporlardır.
extremely,adverb,A2,aşırı boyutta,The film was extremely entertaining and well produced.,Film son derece eğlenceli ve iyi üretilmişti.
exultant,adjective,B2,coşkulu,The team was exultant after winning the championship.,Takım şampiyonluğu kazandıktan sonra coşkuluydu.
eye,noun,A1,göz,She closed her eyes and went to sleep.,Gözlerini kapattı ve uyudu.
eyebrow,noun,B2,kaş,She raised her eyebrow in surprise when she heard the news.,Haberi duyduğunda şaşkınlıkla kaşını kaldırdı.
eyelash,noun,B2,kirpik,Her long eyelashes are one of her most striking features.,Uzun kirpikleri en dikkat çekici özelliklerinden biridir.
eyelid,noun,B2,göz kapağı,He gently closed his eyelids as he drifted off to sleep.,Uykuya dalarken göz kapaklarını nazikçe kapattı.
eyesight,noun,B1,görme yeteneği,His eyesight has been getting worse over the years.,Görme yetisi yıllar içinde kötüleşti.
fabric,noun,B2,kumaş,The dress was made from a soft flowing fabric.,Elbise yumuşak ve dökümlü bir kumaştan yapılmıştı.
fabulous,adjective,B2,efsanevi,We had a fabulous time on our vacation.,Tatilimizde harika vakit geçirdik.
face,noun,A1,yüz,She had a big smile on her face when she saw the surprise.,Sürprizi gördüğünde yüzünde büyük bir gülümseme vardı.
face,verb,A2,yüz,They had to face many challenges during the project.,Proje boyunca birçok zorlukla karşılaşmak zorunda kaldılar.
face to face,adverb,B1,yüz yüze,We had a face to face meeting to discuss the issue.,Sorunu tartışmak için yüz yüze bir toplantı yaptık.
face to face,adjective,B1,yüz yüze,They had their first face to face conversation after months of texting.,Aylarca mesajlaştıktan sonra ilk kez yüz yüze konuştular.
facilitate,verb,B2,kolaylaştırmak,The new software will facilitate communication between team members.,Yeni yazılım ekip üyeleri arasındaki iletişimi kolaylaştıracak.
facilities,noun,B2,tesisler,The hotel offers excellent facilities for business meetings.,Otel iş toplantıları için mükemmel olanaklar sunuyor.
facility,noun,B1,tesis,The new sports facility will be open next month.,Yeni spor tesisi gelecek ay açılacak.
fact,noun,A2,hakikat,The fact is we dont have enough time to finish the project.,Gerçek şu ki projeyi bitirmek için yeterli zamanımız yok.
factor,noun,B2,faktör,Several factors contributed to the success of the event.,Birçok faktör etkinliğin başarısına katkıda bulundu.
factory,noun,A1,fabrika,The factory produces over 10000 cars per year.,Fabrika yılda 10.000den fazla araba üretiyor.
faculty,noun,B2,fakülte,He is a member of the faculty at the university.,O üniversitede bir fakülte üyesidir.
fade,verb,B1,solmak,The colors in the painting have faded over time.,Tablodaki renkler zamanla soldu.
fail,verb,A2,hata,She failed to complete the assignment on time.,Görevi zamanında tamamlayamadı.
failure,noun,B1,arıza,The project was considered a failure due to poor planning.,Proje kötü planlama nedeniyle başarısız olarak kabul edildi.
faint,adjective,B1,bayılmak,She felt faint after standing in the sun for too long.,Güneşin altında fazla durduktan sonra baygın hissetti.
faint,verb,B2,bayılmak,He fainted from the heat and had to be carried inside.,Sıcaktan bayıldı ve içeri taşınmak zorunda kaldı.
fair,adjective,A1,adil,The judge made a fair decision based on the evidence.,Hakim kanıtlara dayalı adil bir karar verdi.
fair,noun,B1,adil,We went to the fair last weekend and had a great time.,Geçen hafta sonu panayıra gittik ve çok eğlendik.
fairly,adverb,A2,adil bir şekilde,The teacher graded the exams fairly.,Öğretmen sınavları adil bir şekilde değerlendirdi.
fairy,noun,A1,peri,The children were excited to hear stories about fairies and magical lands.,Çocuklar periler ve büyülü topraklar hakkında hikayeler duymaktan heyecanlandılar.
faith,noun,B2,inanç,Her faith in humanity was restored after the kind gesture.,İnsanlığa olan inancı bu nazik davranışla yeniden kazandı.
faithful,adjective,B1,sadık,He remained faithful to his family throughout his life.,Hayatı boyunca ailesine sadık kaldı.
fake,adjective,B1,sahte,The painting was revealed to be a fake after an expert inspection.,Uzman incelemesinden sonra tablonun sahte olduğu ortaya çıktı.
fall,noun,B1,düşmek,His fall from grace shocked everyone who knew him.,Gözden düşmesi onu tanıyan herkesi şoke etti.
fall,verb,A2,düşmek,The leaves begin to fall from the trees in autumn.,Sonbaharda yapraklar ağaçlardan düşmeye başlar.
fallen,adjective,B1,düşmüş,The fallen soldier was honored in a memorial service.,Düşen asker bir anma töreniyle onurlandırıldı.
FALSE,adjective,A1,yanlış,The information she provided turned out to be false.,Verdiği bilginin yanlış olduğu ortaya çıktı.
falter,verb,B2,titremek,His voice faltered as he tried to explain what happened.,Ne olduğunu açıklamaya çalışırken sesi titredi.
fame,noun,B2,şöhret,He rose to fame after winning the international singing competition.,Uluslararası şarkı yarışmasını kazandıktan sonra ünlendi.
familiar,adjective,A2,aşina,This place looks familiar I think Ive been here before.,Burası tanıdık görünüyor sanırım daha önce burada bulundum.
familiarize/familiarise,verb,B2,tanımak,Its important to familiarize yourself with the rules before starting.,Başlamadan önce kuralları öğrenmek önemlidir.
family,noun,A1,aile,We spent the holidays with our family this year.,Bu yıl tatili ailemizle geçirdik.
famous,adjective,A1,ünlü,She is a famous actress known for her role in action films.,O aksiyon filmlerindeki rolleriyle tanınan ünlü bir oyuncudur.
fan,noun,A1,fan,Hes a huge fan of rock music and attends concerts frequently.,O rock müziğin büyük bir hayranıdır ve sık sık konserlere katılır.
fancy,adjective,A2,süslü,They live in a fancy house on the hill.,Tepede gösterişli bir evde yaşıyorlar.
fancy,noun,B1,süslü,His fancy for expensive cars is well known.,Pahalı arabalara olan düşkünlüğü iyi bilinir.
fancy,verb,B1,süslü,Do you fancy going out for dinner tonight?,Bu akşam yemeğe çıkmak ister misin?
fantastic,adjective,A2,fantastik,We had a fantastic time at the amusement park yesterday.,Dün lunaparkta harika vakit geçirdik.
fantastically,adverb,B2,fevkalade,The new movie was fantastically entertaining.,Yeni film son derece eğlenceliydi.
fantasy,noun,B1,fantezi,His book explores the line between reality and fantasy.,Kitabı gerçeklik ve fantezi arasındaki çizgiyi keşfediyor.
far,adjective,B2,uzak,The store is located far from my house so I drive there.,Mağaza evimden uzakta bu yüzden oraya arabayla gidiyorum.
far,adverb,A2,uzak,He lives far from the city center.,O şehir merkezinden uzakta yaşıyor.
faraway,adjective,B1,uzak,She often dreams of faraway places.,Sık sık uzak yerlerin hayalini kurar.
fare,noun,A2,Ücret,The bus fare to the city center is quite affordable.,Şehir merkezine otobüs ücreti oldukça uygun.
farewell,noun,B1,veda,We held a farewell party for our colleague before he moved to a new job.,Meslektaşımız için yeni işine taşınmadan önce bir veda partisi düzenledik.
farm,noun,A1,çiftlik,The farm is known for producing organic vegetables.,Çiftlik organik sebze üretimiyle bilinir.
farmer,noun,A1,çiftçi,The farmer works from sunrise to sunset tending to his crops.,Çiftçi mahsullerine bakarak gün doğumundan gün batımına kadar çalışır.
farming,noun,B1,çiftçilik,Sustainable farming practices are becoming more popular.,Sürdürülebilir tarım uygulamaları giderek daha popüler hale geliyor.
farmland,noun,B1,tarım arazisi,The farmland was covered in golden wheat ready for harvest.,Tarım arazisi hasata hazır altın buğdaylarla kaplıydı.
farther,adverb,B1,daha uzak,We decided to drive farther to find a better camping spot.,Daha iyi bir kamp yeri bulmak için daha uzağa gitmeye karar verdik.
farthest,adverb,B1,en uzak,The farthest planet from the sun in our solar system is Neptune.,Güneş sistemimizdeki Güneşe en uzak gezegen Neptündür.
fascinate,verb,B1,cezbetmek,The stories of ancient civilizations fascinate me.,Antik uygarlıkların hikayeleri beni büyülüyor.
fascinated,adjective,B2,büyülenmiş,She was fascinated by the colorful display of the northern lights.,Kuzey ışıklarının renkli gösterisi onu büyüledi.
fascinating,adjective,A2,büyüleyici,Its a fascinating book that explores the mysteries of the ocean.,Okyanusun gizemlerini araştıran büyüleyici bir kitap.
